Year,Month,For Lifeline Customers,kWh Consumption,Generation Charge,Previous Months Adjustment on Generation Cost,Previous Years Adjustment,Power Act Reduction,Transmission Charge,System Loss Charge,Distribution Charge,Distribution Rate True-UP,Supply Charge,Supply Cust Charge,Metering Charge,Metering Cust Charge,Reset Cost Adj,Lifeline Discount,Lifeline Rate Subsidy,Snr. Citizen Subsidy,Cross Subsidy Charge,CERA Refund,Current RPT,Local Franchise Tax,VAT,Energy Tax,Universal Charge,FIT-All Renewable,Total Bill
2010,2,False,600,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0262,0.3380,0.0088,,,0.1161,,0.0103,(0.1461),,0.0455,0.9400,,0.1003,,10.1796
2010,2,False,700,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0224,0.3380,0.0076,,,0.1161,,0.0103,(0.1461),,0.0454,0.9394,0.0071,0.1003,,10.1811
2010,2,False,800,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0196,0.3380,0.0066,,,0.1161,,0.0103,(0.1461),,0.0454,0.9390,0.0188,0.1003,,10.1885
2010,2,False,900,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0174,0.3380,0.0059,,,0.1161,,0.0103,(0.1461),,0.0454,0.9386,0.0278,0.1003,,10.1943
2010,2,False,1000,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0157,0.3380,0.0053,,,0.1161,,0.0103,(0.1461),,0.0454,0.9384,0.0350,0.1003,,10.1989
2010,2,False,1500,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0105,0.3380,0.0035,,,0.1161,,0.0103,(0.1461),,0.0454,0.9375,0.0900,0.1003,,10.2460
2010,2,False,3000,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0052,0.3380,0.0018,,,0.1161,,0.0103,(0.1461),,0.0453,0.9367,0.2200,0.1003,,10.3681
2010,2,False,5000,4.9303,0.0241,(0.0169),(0.0328),0.8773,0.7062,1.7803,,0.4720,0.0031,0.3380,0.0011,,,0.1161,,0.0103,(0.1461),,0.0453,0.9363,0.2720,0.1003,,10.4169
2010,3,True,50,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,0.6917,,0.4720,0.3140,0.3380,0.1060,,(4.6379),,,0.0103,(0.1461),,0.0224,0.4417,,0.1003,,5.0431
2010,3,True,70,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,0.6917,,0.4720,0.2243,0.3380,0.0757,,(3.2045),,,0.0103,(0.1461),,0.0290,0.6001,,0.1003,,6.5214
2010,3,True,100,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,0.6917,,0.4720,0.1570,0.3380,0.0530,,(1.8132),,,0.0103,(0.1461),,0.0355,0.7570,,0.1003,,7.9862
2010,3,False,200,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,0.6917,,0.4720,0.0785,0.3380,0.0265,,,0.1285,,0.0103,(0.1461),,0.0447,0.9785,,0.1003,,10.0535
2010,3,False,300,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,0.9953,,0.4720,0.0523,0.3380,0.0177,,,0.1285,,0.0103,(0.1461),,0.0460,1.0109,,0.1003,,10.3559
2010,3,False,400,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.2816,,0.4720,0.0393,0.3380,0.0133,,,0.1285,,0.0103,(0.1461),,0.0473,1.0433,,0.1003,,10.6584
2010,3,False,500,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0314,0.3380,0.0106,,,0.1285,,0.0103,(0.1461),,0.0498,1.1022,,0.1003,,11.2080
2010,3,False,600,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0262,0.3380,0.0088,,,0.1285,,0.0103,(0.1461),,0.0497,1.1013,,0.1003,,11.2001
2010,3,False,700,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0224,0.3380,0.0076,,,0.1285,,0.0103,(0.1461),,0.0497,1.1007,0.0071,0.1003,,11.2016
2010,3,False,800,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0196,0.3380,0.0066,,,0.1285,,0.0103,(0.1461),,0.0497,1.1003,0.0188,0.1003,,11.2090
2010,3,False,900,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0174,0.3380,0.0059,,,0.1285,,0.0103,(0.1461),,0.0497,1.0999,0.0278,0.1003,,11.2147
2010,3,False,1000,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0157,0.3380,0.0053,,,0.1285,,0.0103,(0.1461),,0.0497,1.0997,0.0350,0.1003,,11.2193
2010,3,False,1500,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0105,0.3380,0.0035,,,0.1285,,0.0103,(0.1461),,0.0496,1.0988,0.0900,0.1003,,11.2664
2010,3,False,3000,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0052,0.3380,0.0018,,,0.1285,,0.0103,(0.1461),,0.0496,1.0980,0.2200,0.1003,,11.3886
2010,3,False,5000,5.8417,0.0241,(0.0169),(0.0306),0.7369,0.7755,1.7803,,0.4720,0.0031,0.3380,0.0011,,,0.1285,,0.0103,(0.1461),,0.0496,1.0976,0.2720,0.1003,,11.4374
2010,4,True,50,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,0.8547,,0.5832,0.3880,0.4176,0.1310,,(5.4042),,,0.0103,,,0.0270,0.4976,,0.1003,,6.0277
2010,4,True,70,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,0.8547,,0.5832,0.2771,0.4176,0.0936,,(3.7310),,,0.0103,,,0.0346,0.6815,,0.1003,,7.7441
2010,4,True,100,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,0.8547,,0.5832,0.1940,0.4176,0.0655,,(2.1098),,,0.0103,,,0.0422,0.8636,,0.1003,,9.4438
2010,4,False,200,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,0.8547,,0.5832,0.0970,0.4176,0.0328,,,0.1371,,0.0103,,,0.0528,1.1189,,0.1003,,11.8268
2010,4,False,300,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,1.2298,,0.5832,0.0647,0.4176,0.0218,,,0.1371,,0.0103,,,0.0544,1.1589,,0.1003,,12.2004
2010,4,False,400,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,1.5836,,0.5832,0.0485,0.4176,0.0164,,,0.1371,,0.0103,,,0.0561,1.1990,,0.1003,,12.5743
2010,4,False,500,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0388,0.4176,0.0131,,,0.1371,,0.0103,,,0.0591,1.2717,,0.1003,,13.2533
2010,4,False,600,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0323,0.4176,0.0109,,,0.1371,,0.0103,,,0.0591,1.2707,,0.1003,,13.2435
2010,4,False,700,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0277,0.4176,0.0094,,,0.1371,,0.0103,,,0.0590,1.2700,0.0071,0.1003,,13.2437
2010,4,False,800,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0243,0.4176,0.0082,,,0.1371,,0.0103,,,0.0590,1.2694,0.0188,0.1003,,13.2501
2010,4,False,900,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0216,0.4176,0.0073,,,0.1371,,0.0103,,,0.0590,1.2690,0.0278,0.1003,,13.2551
2010,4,False,1000,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0194,0.4176,0.0066,,,0.1371,,0.0103,,,0.0590,1.2686,0.0350,0.1003,,13.2590
2010,4,False,1500,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0129,0.4176,0.0044,,,0.1371,,0.0103,,,0.0589,1.2676,0.0900,0.1003,,13.3043
2010,4,False,3000,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0065,0.4176,0.0022,,,0.1371,,0.0103,,,0.0589,1.2665,0.2200,0.1003,,13.4246
2010,4,False,5000,6.7699,0.0241,(0.0169),(0.0189),0.8195,0.8445,2.1998,,0.5832,0.0039,0.4176,0.0013,,,0.1371,,0.0103,,,0.0589,1.2661,0.2720,0.1003,,13.4727
2010,5,True,50,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,0.8547,,0.5832,0.388,0.4176,0.131,,(4.6901),,,0.0103,,,0.0234,0.4574,,0.1003,,5.2554
2010,5,True,70,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,0.8547,,0.5832,0.2771,0.4176,0.0936,,(3.2312),,,0.0103,,,0.0299,0.6155,,0.1003,,6.7307
2010,5,True,100,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,0.8547,,0.5832,0.194,0.4176,0.0655,,(1.8242),,,0.0103,,,0.0364,0.7717,,0.1003,,8.1893
2010,5,False,200,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,0.8547,,0.5832,0.097,0.4176,0.0328,,,0.1452,,0.0103,,,0.0456,0.9936,,0.1003,,10.2599
2010,5,False,300,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,1.2298,,0.5832,0.0647,0.4176,0.0218,,,0.1452,,0.0103,,,0.0473,1.0336,,0.1003,,10.6335
2010,5,False,400,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,1.5836,,0.5832,0.0485,0.4176,0.0164,,,0.1452,,0.0103,,,0.0489,1.0737,,0.1003,,11.0074
2010,5,False,500,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0388,0.4176,0.0131,,,0.1452,,0.0103,,,0.0519,1.1464,,0.1003,,11.6864
2010,5,False,600,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0323,0.4176,0.0109,,,0.1452,,0.0103,,,0.0519,1.1454,,0.1003,,11.6766
2010,5,False,700,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0277,0.4176,0.0094,,,0.1452,,0.0103,,,0.0519,1.1446,0.0071,0.1003,,11.6768
2010,5,False,800,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0243,0.4176,0.0082,,,0.1452,,0.0103,,,0.0518,1.1441,0.0188,0.1003,,11.6832
2010,5,False,900,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0216,0.4176,0.0073,,,0.1452,,0.0103,,,0.0518,1.1436,0.0278,0.1003,,11.6882
2010,5,False,1000,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0194,0.4176,0.0066,,,0.1452,,0.0103,,,0.0518,1.1433,0.035,0.1003,,11.6921
2010,5,False,1500,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0129,0.4176,0.0044,,,0.1452,,0.0103,,,0.0518,1.1423,0.09,0.1003,,11.7374
2010,5,False,3000,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0065,0.4176,0.0022,,,0.1452,,0.0103,,,0.0517,1.1412,0.22,0.1003,,11.8577
2010,5,False,5000,5.5123,0.0241,(0.0169),(0.0333),0.7742,0.7193,2.1998,,0.5832,0.0039,0.4176,0.0013,,,0.1452,,0.0103,,,0.0517,1.1408,0.272,0.1003,,11.9058
2010,6,True,50,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,0.8547,,0.5832,0.3880,0.4176,0.1310,,(4.6412),,,0.0103,,,0.0231,0.4271,,0.1003,,5.1793
2010,6,True,70,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,0.8547,,0.5832,0.2771,0.4176,0.0936,,(3.1969),,,0.0103,,,0.0296,0.5834,,0.1003,,6.6381
2010,6,True,100,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,0.8547,,0.5832,0.1940,0.4176,0.0655,,(1.8046),,,0.0103,,,0.0360,0.7379,,0.1003,,8.0801
2010,6,False,200,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,0.8547,,0.5832,0.0970,0.4176,0.0328,,,0.1384,,0.0103,,,0.0451,0.9566,,0.1003,,10.1211
2010,6,False,300,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,1.2298,,0.5832,0.0647,0.4176,0.0218,,,0.1384,,0.0103,,,0.0468,0.9966,,0.1003,,10.4946
2010,6,False,400,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,1.5836,,0.5832,0.0485,0.4176,0.0164,,,0.1384,,0.0103,,,0.0484,1.0366,,0.1003,,10.8685
2010,6,False,500,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0388,0.4176,0.0131,,,0.1384,,0.0103,,,0.0514,1.1094,,0.1003,,11.5475
2010,6,False,600,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0323,0.4176,0.0109,,,0.1384,,0.0103,,,0.0514,1.1083,,0.1003,,11.5378
2010,6,False,700,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0277,0.4176,0.0094,,,0.1384,,0.0103,,,0.0514,1.1076,0.0071,0.1003,,11.5380
2010,6,False,800,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0243,0.4176,0.0082,,,0.1384,,0.0103,,,0.0513,1.1070,0.0188,0.1003,,11.5444
2010,6,False,900,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0216,0.4176,0.0073,,,0.1384,,0.0103,,,0.0513,1.1066,0.0278,0.1003,,11.5493
2010,6,False,1000,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0194,0.4176,0.0066,,,0.1384,,0.0103,,,0.0513,1.1063,0.0350,0.1003,,11.5533
2010,6,False,1500,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0129,0.4176,0.0044,,,0.1384,,0.0103,,,0.0513,1.1052,0.0900,0.1003,,11.5986
2010,6,False,3000,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0065,0.4176,0.0022,,,0.1384,,0.0103,,,0.0512,1.1042,0.2200,0.1003,,11.7188
2010,6,False,5000,5.5967,0.0241,(0.0169),(0.0299),0.6201,0.6911,2.1998,,0.5832,0.0039,0.4176,0.0013,,,0.1384,,0.0103,,,0.0512,1.1037,0.2720,0.1003,,11.7669
2010,7,True,50,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,0.8547,,0.5832,0.3880,0.4176,0.1310,,(4.8192),,,0.0103,,,0.0240,0.4027,,0.1003,,5.3353
2010,7,True,70,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,0.8547,,0.5832,0.2771,0.4176,0.0936,,(3.3215),,,0.0103,,,0.0308,0.5654,,0.1003,,6.8542
2010,7,True,100,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,0.8547,,0.5832,0.1940,0.4176,0.0655,,(1.8758),,,0.0103,,,0.0375,0.7263,,0.1003,,8.3563
2010,7,False,200,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,0.8547,,0.5832,0.0970,0.4176,0.0328,,,0.1116,,0.0103,,,0.0467,0.9504,,0.1003,,10.4473
2010,7,False,300,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,1.2298,,0.5832,0.0647,0.4176,0.0218,,,0.1116,,0.0103,,,0.0484,0.9904,,0.1003,,10.8208
2010,7,False,400,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,1.5836,,0.5832,0.0485,0.4176,0.0164,,,0.1116,,0.0103,,,0.0501,1.0305,,0.1003,,11.1947
2010,7,False,500,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0388,0.4176,0.0131,,,0.1116,,0.0103,,,0.0531,1.1032,,0.1003,,11.8737
2010,7,False,600,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0323,0.4176,0.0109,,,0.1116,,0.0103,,,0.0530,1.1022,,0.1003,,11.8640
2010,7,False,700,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0277,0.4176,0.0094,,,0.1116,,0.0103,,,0.0530,1.1014,0.0071,0.1003,,11.8641
2010,7,False,800,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0243,0.4176,0.0082,,,0.1116,,0.0103,,,0.0530,1.1009,0.0188,0.1003,,11.8705
2010,7,False,900,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0216,0.4176,0.0073,,,0.1116,,0.0103,,,0.0530,1.1004,0.0278,0.1003,,11.8755
2010,7,False,1000,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0194,0.4176,0.0066,,,0.1116,,0.0103,,,0.0530,1.1001,0.0350,0.1003,,11.8795
2010,7,False,1500,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0129,0.4176,0.0044,,,0.1116,,0.0103,,,0.0529,1.0990,0.0900,0.1003,,11.9247
2010,7,False,3000,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0065,0.4176,0.0022,,,0.1116,,0.0103,,,0.0529,1.0980,0.2200,0.1003,,12.0450
2010,7,False,5000,5.6546,0.0241,(0.0169),(0.0284),0.9082,0.7011,2.1998,,0.5832,0.0039,0.4176,0.0013,,,0.1116,,0.0103,,,0.0529,1.0976,0.2720,0.1003,,12.0931
2010,8,True,50,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,0.8547,,0.5832,0.3880,0.4176,0.1310,,(5.1145),,,0.0103,,,0.0255,0.3897,,0.1003,,5.6210
2010,8,True,70,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,0.8547,,0.5832,0.2771,0.4176,0.0936,,(3.5282),,,0.0103,,,0.0327,0.5631,,0.1003,,7.2396
2010,8,True,100,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,0.8547,,0.5832,0.1940,0.4176,0.0655,,(1.9939),,,0.0103,,,0.0398,0.7348,,0.1003,,8.8414
2010,8,False,200,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,0.8547,,0.5832,0.0970,0.4176,0.0328,,,0.1003,,0.0103,,,0.0497,0.9717,,0.1003,,11.0526
2010,8,False,300,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,1.2298,,0.5832,0.0647,0.4176,0.0218,,,0.1003,,0.0103,,,0.0513,1.0117,,0.1003,,11.4261
2010,8,False,400,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,1.5836,,0.5832,0.0485,0.4176,0.0164,,,0.1003,,0.0103,,,0.0530,1.0518,,0.1003,,11.8000
2010,8,False,500,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0388,0.4176,0.0131,,,0.1003,,0.0103,,,0.0560,1.1245,,0.1003,,12.4790
2010,8,False,600,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0323,0.4176,0.0109,,,0.1003,,0.0103,,,0.0559,1.1235,,0.1003,,12.4693
2010,8,False,700,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0277,0.4176,0.0094,,,0.1003,,0.0103,,,0.0559,1.1227,0.0071,0.1003,,12.4695
2010,8,False,800,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0243,0.4176,0.0082,,,0.1003,,0.0103,,,0.0559,1.1222,0.0188,0.1003,,12.4758
2010,8,False,900,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0216,0.4176,0.0073,,,0.1003,,0.0103,,,0.0559,1.1217,0.0278,0.1003,,12.4808
2010,8,False,1000,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0194,0.4176,0.0066,,,0.1003,,0.0103,,,0.0559,1.1214,0.0350,0.1003,,12.4848
2010,8,False,1500,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0129,0.4176,0.0044,,,0.1003,,0.0103,,,0.0558,1.1203,0.0900,0.1003,,12.5301
2010,8,False,3000,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0065,0.4176,0.0022,,,0.1003,,0.0103,,,0.0558,1.1193,0.2200,0.1003,,12.6503
2010,8,False,5000,6.0962,0.0241,(0.0169),(0.0265),1.0067,0.7515,2.1998,,0.5832,0.0039,0.4176,0.0013,,,0.1003,,0.0103,,,0.0558,1.1189,0.2720,0.1003,,12.6984
2010,9,True,50,5.4119,0.0241,(0.0169),(0.0078),0.9594,0.6491,0.8547,,0.5832,0.3880,0.4176,0.1310,,(4.6975),,,0.0103,,,0.0235,0.3528,,0.1003,,5.1838
2010,9,True,70,5.4119,0.0241,(0.0169),(0.0078),0.9594,0.6491,0.8547,,0.5832,0.2771,0.4176,0.0936,,(3.2363),,,0.0103,,,0.0301,0.5111,,0.1003,,6.6615
2010,9,True,100,5.4119,0.0241,(0.0169),(0.0078),0.9594,0.6491,0.8547,,0.5832,0.1940,0.4176,0.0655,,(1.8271),,,0.0103,,,0.0366,0.6677,,0.1003,,8.1226
2010,9,False,200,5.4119,0.0241,(0.0169),(0.0078),0.9594,0.6491,0.8547,,0.5832,0.0970,0.4176,0.0328,,,0.1265,,0.0103,,,0.0457,0.8876,,0.1003,,10.1755
